,data,valor
541,1989-03-01,5.51
542,1989-04-01,6.12
543,1989-05-01,18.96
544,1989-06-01,29.86
545,1989-07-01,41.43
546,1989-08-01,43.05
547,1989-09-01,39.56
548,1989-10-01,39.22
549,1989-11-01,41.39
550,1989-12-01,46.84
551,1990-01-01,64.68
552,1990-02-01,70.25
553,1990-03-01,78.41
554,1990-04-01,1.67
555,1990-05-01,0.99
556,1990-06-01,7.42
557,1990-07-01,16.67
558,1990-08-01,13.11
559,1990-09-01,10.87
560,1990-10-01,11.48
561,1990-11-01,13.05
562,1990-12-01,17.51
563,1991-01-01,17.03
564,1991-02-01,15.5
565,1991-03-01,8.33
566,1991-04-01,6.77
567,1991-05-01,13.19
568,1991-06-01,10.18
569,1991-07-01,13.61
570,1991-08-01,14.63
571,1991-09-01,21.11
572,1991-10-01,23.01
573,1991-11-01,29.47
574,1991-12-01,19.71
575,1992-01-01,29.87
576,1992-02-01,23.63
577,1992-03-01,27.77
578,1992-04-01,17.42
579,1992-05-01,28.22
580,1992-06-01,18.03
581,1992-07-01,23.53
582,1992-08-01,17.28
583,1992-09-01,34.3
584,1992-10-01,18.91
585,1992-11-01,29.16
586,1992-12-01,18.84
587,1993-01-01,36.9
588,1993-02-01,22.6
589,1993-03-01,32.61
590,1993-04-01,21.28
591,1993-05-01,40.6
592,1993-06-01,27.13
593,1993-07-01,33.73
594,1993-08-01,28.42
595,1993-09-01,40.09
596,1993-10-01,34.03
597,1993-11-01,38.4
598,1993-12-01,32.99
599,1994-01-01,45.93
600,1994-02-01,39.14
601,1994-03-01,55.71
602,1994-04-01,45.6
603,1994-05-01,45.6
604,1994-06-01,44.74
605,1994-07-01,3.58
606,1994-08-01,0.14
607,1994-09-01,0.38
608,1994-10-01,1.32
609,1994-11-01,2.36
610,1994-12-01,1.32
611,1995-01-01,3.5
612,1995-02-01,2.09
613,1995-03-01,3.3
614,1995-04-01,2.3
615,1995-05-01,8.77
616,1995-06-01,3.12
617,1995-07-01,1.09
618,1995-08-01,0.62
619,1995-09-01,0.72
620,1995-10-01,0.86
621,1995-11-01,0.73
622,1995-12-01,0.86
623,1996-01-01,1.52
624,1996-02-01,0.11
625,1996-03-01,0.98
626,1996-04-01,0.25
627,1996-05-01,2.16
628,1996-06-01,1.54
629,1996-07-01,0.75
630,1996-08-01,0.23
631,1996-09-01,0.22
632,1996-10-01,0.26
633,1996-11-01,0.58
634,1996-12-01,0.59
635,1997-01-01,0.32
636,1997-02-01,0.48
637,1997-03-01,0.73
638,1997-04-01,0.23
639,1997-05-01,0.86
640,1997-06-01,1.11
641,1997-07-01,0.51
642,1997-08-01,1.18
643,1997-09-01,0.27
644,1997-10-01,0.15
645,1997-11-01,0.54
646,1997-12-01,0.23
647,1998-01-01,0.33
648,1998-02-01,0.48
649,1998-03-01,0.47
