,data,valor
471,1983-05-01,6.58
472,1983-06-01,13.73
473,1983-07-01,14.45
474,1983-08-01,10.1
475,1983-09-01,14.42
476,1983-10-01,15.57
477,1983-11-01,8.69
478,1983-12-01,7.4
479,1984-01-01,10.19
480,1984-02-01,11.93
481,1984-03-01,10.11
482,1984-04-01,9.6
483,1984-05-01,8.82
484,1984-06-01,9.08
485,1984-07-01,10.75
486,1984-08-01,9.2
487,1984-09-01,11.17
488,1984-10-01,13.67
489,1984-11-01,10.36
490,1984-12-01,10.84
491,1985-01-01,12.93
492,1985-02-01,9.22
493,1985-03-01,13.58
494,1985-04-01,7.25
495,1985-05-01,6.47
496,1985-06-01,7.08
497,1985-07-01,7.61
498,1985-08-01,14.51
499,1985-09-01,9.06
500,1985-10-01,9.54
501,1985-11-01,15.07
502,1985-12-01,12.27
503,1986-01-01,18.98
504,1986-02-01,16.11
505,1986-03-01,4.16
506,1986-04-01,-1.46
507,1986-05-01,0.09
508,1986-06-01,0.37
509,1986-07-01,0.58
510,1986-08-01,1.34
511,1986-09-01,0.67
512,1986-10-01,1.16
513,1986-11-01,2.13
514,1986-12-01,7.65
515,1987-01-01,10.5
516,1987-02-01,10.35
517,1987-03-01,14.05
518,1987-04-01,20.98
519,1987-05-01,30.72
520,1987-06-01,26.26
521,1987-07-01,9.89
522,1987-08-01,3.72
523,1987-09-01,7.55
524,1987-10-01,11.68
525,1987-11-01,14.98
526,1987-12-01,16.05
527,1988-01-01,18.39
528,1988-02-01,17.86
529,1988-03-01,17.52
530,1988-04-01,21.32
531,1988-05-01,19.27
532,1988-06-01,21.23
533,1988-07-01,22.25
534,1988-08-01,23.71
535,1988-09-01,26.15
536,1988-10-01,26.88
537,1988-11-01,27.59
538,1988-12-01,29.46
539,1989-01-01,36.12
540,1989-02-01,10.74
541,1989-03-01,3.11
542,1989-04-01,4.88
543,1989-05-01,11.22
544,1989-06-01,25.42
545,1989-07-01,39.44
546,1989-08-01,36.73
547,1989-09-01,41.41
548,1989-10-01,40.34
549,1989-11-01,44.32
550,1989-12-01,48.89
551,1990-01-01,72.63
552,1990-02-01,73.99
553,1990-03-01,82.04
554,1990-04-01,9.98
555,1990-05-01,9.93
556,1990-06-01,7.32
557,1990-07-01,11.57
558,1990-08-01,12.95
559,1990-09-01,11.06
560,1990-10-01,14.59
561,1990-11-01,18.43
562,1990-12-01,15.0
