datetime,symbol,open,high,low,close,volume
2018-06-12 19:00:00,VANTAGE:SP500,2788.32,2791.86,2774.22,2776.08,0.0
2018-06-13 19:00:00,VANTAGE:SP500,2773.02,2789.13,2767.29,2783.64,0.0
2018-06-14 19:00:00,VANTAGE:SP500,2781.9,2783.52,2760.66,2779.5,0.0
2018-06-17 19:00:00,VANTAGE:SP500,2774.58,2782.35,2756.58,2774.1,0.0
2018-06-18 19:00:00,VANTAGE:SP500,2774.1,2775.36,2731.38,2761.71,0.0
2018-06-19 19:00:00,VANTAGE:SP500,2760.87,2774.04,2752.77,2766.78,0.0
2018-06-20 19:00:00,VANTAGE:SP500,2766.93,2780.67,2742.66,2746.41,0.0
2018-06-21 19:00:00,VANTAGE:SP500,2746.02,2764.41,2744.76,2755.65,0.0
2018-06-24 19:00:00,VANTAGE:SP500,2751.72,2752.72,2695.47,2716.09,0.0
2018-06-25 19:00:00,VANTAGE:SP500,2718.66,2732.19,2711.94,2721.96,0.0
2018-06-26 19:00:00,VANTAGE:SP500,2723.61,2745.12,2698.35,2702.22,0.0
2018-06-27 19:00:00,VANTAGE:SP500,2702.22,2723.25,2690.25,2717.49,0.0
2018-06-28 19:00:00,VANTAGE:SP500,2716.89,2742.75,2714.49,2719.98,0.0
2018-07-01 19:00:00,VANTAGE:SP500,2718.6,2726.43,2696.58,2724.78,0.0
2018-07-02 19:00:00,VANTAGE:SP500,2725.26,2739.6,2710.14,2711.16,0.0
2018-07-03 19:00:00,VANTAGE:SP500,2711.01,2722.26,2708.79,2720.04,0.0
2018-07-04 19:00:00,VANTAGE:SP500,2719.26,2737.41,2710.26,2736.51,0.0
2018-07-05 19:00:00,VANTAGE:SP500,2734.38,2764.11,2728.86,2760.12,0.0
2018-07-08 19:00:00,VANTAGE:SP500,2759.62,2785.62,2759.62,2785.37,0.0
2018-07-09 19:00:00,VANTAGE:SP500,2785.12,2795.37,2778.87,2783.37,0.0
2018-07-10 19:00:00,VANTAGE:SP500,2779.12,2785.22,2763.62,2773.77,0.0
2018-07-11 19:00:00,VANTAGE:SP500,2774.24,2798.32,2771.24,2796.01,0.0
2018-07-12 19:00:00,VANTAGE:SP500,2796.19,2804.82,2790.92,2800.67,0.0
2018-07-15 19:00:00,VANTAGE:SP500,2803.17,2806.42,2792.67,2794.44,0.0
2018-07-16 19:00:00,VANTAGE:SP500,2793.42,2813.91,2787.67,2811.0,0.0
2018-07-17 19:00:00,VANTAGE:SP500,2810.42,2816.58,2804.36,2813.31,0.0
2018-07-18 19:00:00,VANTAGE:SP500,2811.81,2816.1,2798.58,2803.44,0.0
2018-07-19 19:00:00,VANTAGE:SP500,2803.89,2808.75,2791.38,2799.3,0.0
2018-07-22 19:00:00,VANTAGE:SP500,2803.26,2811.12,2791.26,2809.86,0.0
2018-07-23 19:00:00,VANTAGE:SP500,2809.29,2829.99,2809.05,2817.75,0.0
2018-07-24 19:00:00,VANTAGE:SP500,2818.29,2848.29,2812.83,2844.03,0.0
2018-07-25 19:00:00,VANTAGE:SP500,2835.58,2845.43,2832.43,2838.93,0.0
2018-07-26 19:00:00,VANTAGE:SP500,2839.58,2846.18,2808.08,2816.53,0.0
2018-07-29 19:00:00,VANTAGE:SP500,2815.08,2821.08,2798.08,2805.08,0.0
2018-07-30 19:00:00,VANTAGE:SP500,2804.93,2827.18,2802.43,2825.78,0.0
2018-07-31 19:00:00,VANTAGE:SP500,2825.08,2825.43,2805.33,2813.68,0.0
2018-08-01 19:00:00,VANTAGE:SP500,2813.43,2830.68,2790.68,2830.18,0.0
2018-08-02 19:00:00,VANTAGE:SP500,2829.98,2839.58,2824.23,2839.48,0.0
2018-08-05 19:00:00,VANTAGE:SP500,2840.93,2852.78,2834.68,2849.03,0.0
2018-08-06 19:00:00,VANTAGE:SP500,2849.08,2863.33,2848.08,2860.43,0.0
2018-08-07 19:00:00,VANTAGE:SP500,2860.18,2862.18,2852.43,2853.43,0.0
2018-08-08 19:00:00,VANTAGE:SP500,2852.58,2861.93,2849.73,2851.38,0.0
2018-08-09 19:00:00,VANTAGE:SP500,2850.78,2851.13,2824.63,2835.88,0.0
2018-08-12 19:00:00,VANTAGE:SP500,2834.03,2842.68,2819.08,2824.83,0.0
2018-08-13 19:00:00,VANTAGE:SP500,2824.83,2842.33,2824.73,2840.73,0.0
2018-08-14 19:00:00,VANTAGE:SP500,2840.63,2841.38,2801.38,2821.23,0.0
2018-08-15 19:00:00,VANTAGE:SP500,2819.93,2849.53,2815.18,2841.53,0.0
2018-08-16 19:00:00,VANTAGE:SP500,2841.13,2854.88,2832.88,2850.13,0.0
2018-08-19 19:00:00,VANTAGE:SP500,2850.78,2858.88,2848.28,2855.38,0.0
2018-08-20 19:00:00,VANTAGE:SP500,2855.38,2872.08,2850.23,2853.63,0.0
2018-08-21 19:00:00,VANTAGE:SP500,2851.48,2866.43,2844.68,2859.93,0.0
2018-08-22 19:00:00,VANTAGE:SP500,2860.18,2867.7,2853.1,2856.6,0.0
2018-08-23 19:00:00,VANTAGE:SP500,2856.5,2875.8,2854.85,2875.45,0.0
2018-08-26 19:00:00,VANTAGE:SP500,2876.4,2898.2,2875.75,2897.75,0.0
2018-08-27 19:00:00,VANTAGE:SP500,2897.05,2904.2,2892.5,2898.25,0.0
2018-08-28 19:00:00,VANTAGE:SP500,2899.65,2915.5,2895.65,2913.35,0.0
2018-08-29 19:00:00,VANTAGE:SP500,2913.45,2914.2,2893.45,2897.2,0.0
2018-08-30 19:00:00,VANTAGE:SP500,2895.6,2906.3,2891.05,2904.9,0.0
2018-09-02 19:00:00,VANTAGE:SP500,2905.6,2912.05,2902.3,2907.95,0.0
2018-09-03 19:00:00,VANTAGE:SP500,2907.4,2911.5,2885.05,2898.4,0.0
2018-09-04 19:00:00,VANTAGE:SP500,2898.8,2900.3,2877.15,2889.3,0.0
2018-09-05 19:00:00,VANTAGE:SP500,2888.25,2892.3,2866.9,2877.45,0.0
2018-09-06 19:00:00,VANTAGE:SP500,2876.9,2883.65,2863.65,2873.9,0.0
2018-09-09 19:00:00,VANTAGE:SP500,2872.9,2887.65,2872.4,2879.3,0.0
2018-09-10 19:00:00,VANTAGE:SP500,2879.05,2892.4,2866.65,2889.65,0.0
2018-09-11 19:00:00,VANTAGE:SP500,2889.65,2894.7,2879.15,2886.8,0.0
2018-09-12 19:00:00,VANTAGE:SP500,2885.85,2906.45,2883.4,2904.1,0.0
2018-09-13 19:00:00,VANTAGE:SP500,2903.9,2910.9,2895.4,2905.4,0.0
2018-09-16 19:00:00,VANTAGE:SP500,2902.5,2905.3,2886.15,2890.4,0.0
2018-09-17 19:00:00,VANTAGE:SP500,2889.4,2911.85,2877.65,2906.6,0.0
2018-09-18 19:00:00,VANTAGE:SP500,2906.75,2912.65,2899.9,2910.65,0.0
